Names	switch_no_tresh	switch_with_tresh	mean_no_tresh	mean_with_tresh	vari_no_tresh	vari_with_tresh	devi_no_tresh	devi_with_tresh
832651_rfMRI_REST2	0.2488421052631579	0.1688421052631579	0.0016835016835016834	0.43265993265993263	0.9999971658220816	0.8128053826707025	0.9999985829100367	0.901557198779258
298051_rfMRI_REST1	0.2513684210526316	0.096	-0.03956228956228956	0.73989898989899	0.9984348252445895	0.4525494847464545	0.9992171061609131	0.6727179830705097
211720_rfMRI_REST2	0.25726315789473686	0.12336842105263159	0.008417508417508417	0.622895622895623	0.9999291455520414	0.6120010429774739	0.9999645721484544	0.7823049552300394
901038_rfMRI_REST2	0.2543157894736842	0.128	0.04040404040404041	0.6254208754208754	0.9983675135190286	0.6088487285877858	0.9991834233608105	0.7802875935113833
170934_rfMRI_REST1	0.2488421052631579	0.02231578947368421	-0.0008417508417508417	0.9486531986531986	0.9999992914555208	0.10005710868505478	0.9999996457276976	0.31631804988816997
550439_rfMRI_REST1	0.2513684210526316	0.08252631578947368	0.030303030303030304	0.7803030303030303	0.9990817263544537	0.3911271808999081	0.9995407577254934	0.6254016156838005
810439_rfMRI_REST1	0.24336842105263157	0.072	0.03535353535353535	0.7996632996632996	0.9987501275380063	0.36053860717160385	0.9993748683742284	0.6004486715545333
826353_rfMRI_REST2	0.2496842105263158	0.047578947368421054	-0.05134680134680135	0.8779461279461279	0.9973635059914518	0.22921059642440114	0.9986808829608445	0.4787594348150239
167743_rfMRI_REST1	0.24842105263157896	0.09810526315789474	0.018518518518518517	0.7255892255892256	0.9996570644718795	0.473520275708828	0.9998285175328215	0.6881280954217958
599671_rfMRI_REST2	0.2496842105263158	0.12294736842105262	0.0008417508417508417	0.6018518518518519	0.9999992914555206	0.6377743484224966	0.9999996457276975	0.7986077562999853
756055_rfMRI_REST1	0.2581052631578947	0.09010526315789473	-0.031144781144781145	0.7449494949494949	0.9990300026074438	0.4450502499744922	0.999514883634778	0.6671208660913645
171330_rfMRI_REST2	0.24757894736842107	0.13389473684210526	-0.01936026936026936	0.6178451178451179	0.9996251799702981	0.6182674103549524	0.9998125724206003	0.7862998221765998
122317_rfMRI_REST2	0.2488421052631579	0.08252631578947368	0.004208754208754209	0.7617845117845118	0.9999822863880102	0.419684357605233	0.9999911431547832	0.6478305006753179
133019_rfMRI_REST1	0.25263157894736843	0.16842105263157894	0.031144781144781145	0.42845117845117847	0.9990300026074436	0.8164295876837964	0.9995148836347779	0.903564932743517
257845_rfMRI_REST2	0.25642105263157894	0.03621052631578947	-0.010101010101010102	0.8930976430976431	0.9998979695949394	0.20237659989343498	0.9999489834961278	0.449862867875795
136833_rfMRI_REST1	0.25094736842105264	0.16294736842105262	0.003367003367003367	0.4983164983164983	0.9999886632883267	0.7516806675055832	0.9999943316280981	0.866995194626581
679568_rfMRI_REST1	0.2517894736842105	0.026105263157894736	-0.009259259259259259	0.9436026936026936	0.9999142661179697	0.10961395662574112	0.9999571321401581	0.3310799852388258
154835_rfMRI_REST1	0.2543157894736842	0.03494736842105263	0.003367003367003367	0.9074074074074074	0.9999886632883267	0.17661179698216736	0.9999943316280981	0.42025206362630435
108525_rfMRI_REST1	0.24336842105263157	0.11957894736842105	0.05134680134680135	0.6531986531986532	0.9973635059914518	0.5733315194594655	0.9986808829608445	0.7571865816689209
558960_rfMRI_REST1	0.25852631578947366	0.042105263157894736	0.01936026936026936	0.8846801346801347	0.9996251799702981	0.2173410593023387	0.9998125724206003	0.4661985191979257
199150_rfMRI_REST1	0.25263157894736843	0.104	0.01936026936026936	0.6691919191919192	0.9996251799702981	0.5521821752882359	0.9998125724206003	0.7430896145743364
101006_rfMRI_REST2	0.23621052631578948	0.045894736842105266	0.0025252525252525255	0.8813131313131313	0.9999936230996835	0.22328716457504336	0.9999968115447586	0.47253271270362157
815247_rfMRI_REST2	0.2471578947368421	0.1511578947368421	0.003367003367003367	0.5227272727272727	0.9999886632883267	0.7267561983471075	0.9999943316280981	0.8524999697050478
569965_rfMRI_REST2	0.24421052631578946	0.09768421052631579	-0.0025252525252525255	0.7171717171717171	0.9999936230996838	0.48566472808897054	0.9999968115447587	0.6968964974004178
536647_rfMRI_REST1	0.24505263157894736	0.06821052631578947	0.01430976430976431	0.819023569023569	0.9997952306453985	0.3292003933838952	0.9998976100808515	0.5737598743236539
149842_rfMRI_REST1	0.25263157894736843	0.09768421052631579	-0.011784511784511785	0.7272727272727273	0.9998611252820008	0.47107438016528935	0.9999305602300596	0.6863485850246137
151728_rfMRI_REST2	0.24842105263157896	0.08378947368421052	0.004208754208754209	0.7693602693602694	0.9999822863880102	0.4080847759298938	0.9999911431547832	0.6388151343932718
211922_rfMRI_REST2	0.24252631578947367	0.04547368421052632	0.01936026936026936	0.8619528619528619	0.9996251799702981	0.2570372637712705	0.9998125724206003	0.5069884256778161
171431_rfMRI_REST2	0.24879923150816521	0.07108549471661864	-0.00048007681228996637	0.8012481997119539	0.9999997695262545	0.35800132245835276	0.9999998847631206	0.598332117187731
481951_rfMRI_REST2	0.2631578947368421	0.043789473684210524	-0.005892255892255892	0.8880471380471381	0.9999652813205002	0.21137228060628732	0.9999826405095742	0.4597524122897968
111211_rfMRI_REST2	0.24842105263157896	0.12252631578947368	-0.0008417508417508417	0.5984848484848485	0.9999992914555206	0.6418158861340681	0.9999996457276975	0.8011341249341887
878877_rfMRI_REST2	0.2538947368421053	0.024842105263157895	0.010101010101010102	0.9452861952861953	0.9998979695949394	0.10643400900134906	0.9999489834961278	0.3262422550825522
109123_rfMRI_REST2	0.2543157894736842	0.1591578947368421	-0.041245791245791245	0.5042087542087542	0.9982987847045087	0.7457735321792562	0.9991490302775201	0.8635818039880508
381543_rfMRI_REST1	0.2522105263157895	0.17305263157894737	0.007575757575757576	0.4797979797979798	0.9999426078971532	0.7697938985817773	0.9999713035368331	0.8773789936975795
303624_rfMRI_REST1	0.2471578947368421	0.1376842105263158	0.015993265993265993	0.5673400673400674	0.9997442154428686	0.678125247990568	0.9998720995421707	0.8234836051741212
139233_rfMRI_REST2	0.2505263157894737	0.06694736842105263	-0.026094276094276093	0.813973063973064	0.9993190887551158	0.33744785112630227	0.999659486402803	0.5809026175929166
224022_rfMRI_REST1	0.2505263157894737	0.15368421052631578	0.022727272727272728	0.5008417508417509	0.9994834710743803	0.7491575406137696	0.9997417021783078	0.8655388729651428
217429_rfMRI_REST1	0.24757894736842107	0.09010526315789473	0.02356902356902357	0.7087542087542088	0.9994445011280029	0.4976674715731956	0.9997222119809097	0.7054555064447336
206727_rfMRI_REST2	0.2517894736842105	0.04	0.011784511784511785	0.9082491582491582	0.9998611252820006	0.17508346653969556	0.9999305602300594	0.41842976297067536
120515_rfMRI_REST1	0.2505263157894737	0.056	-0.015993265993265993	0.8468013468013468	0.9997442154428686	0.2829274790554252	0.9998720995421707	0.5319092770909577
217126_rfMRI_REST1	0.2496842105263158	0.16673684210526316	-0.03367003367003367	0.46380471380471383	0.9988663288326589	0.7848851874525274	0.9994330036739125	0.8859374624952527
783462_rfMRI_REST1	0.2522105263157895	0.05052631578947368	0.003367003367003367	0.8703703703703703	0.9999886632883267	0.24245541838134424	0.9999943316280981	0.4923976222336418
130013_rfMRI_REST1	0.2538947368421053	0.047578947368421054	0.010942760942760943	0.8594276094276094	0.9998802559829498	0.2613841841535444	0.9999401261990389	0.511257453885559
789373_rfMRI_REST1	0.2534736842105263	0.17642105263157895	0.0	0.43434343434343436	1.0	0.8113457810427507	1.0	0.9007473458427455
309636_rfMRI_REST1	0.2648421052631579	0.05431578947368421	0.005892255892255892	0.8611111111111112	0.9999652813205002	0.2584876543209876	0.9999826405095742	0.5084168116034201
516742_rfMRI_REST1	0.2517894736842105	0.09263157894736843	-0.01430976430976431	0.7331649831649831	0.9997952306453988	0.46246910746068987	0.9998976100808517	0.6800508124108741
522434_rfMRI_REST1	0.25263157894736843	0.06526315789473684	-0.02441077441077441	0.8063973063973064	0.999404114092666	0.34972338423516874	0.9997020126481021	0.5913741491096552
